3.870476190	2
4.807619048	2
5.734603175	3
6.678888889	2
7.613968254	1
8.546575964	1
9.480634921	2
10.409909297	2
11.387936508	2
12.306054422	3
13.241904762	2
14.136961451	3
14.623038549	2
15.081179138	2
16.040816327	3
16.979591837	2
17.443990930	1
17.915646259	2
18.868276644	2
19.795918367	2
20.734693878	3
21.197278912	3
21.667120181	2
22.138775510	1
22.605895692	2
23.538321995	1
24.481496599	1
24.951473923	1
25.415873016	2
26.357369615	2
27.291609977	3
28.227664399	3
28.698412698	3
29.637188209	2
30.129705215	2
30.571428571	1
31.042176871	1
31.980952381	2
32.446258503	2
32.914285714	2
33.854875283	3
34.321088435	3
34.791836735	2
35.727891156	2
36.197732426	1
37.134149660	1
37.600000000	2
38.542403628	3
39.482993197	3
39.950113379	2
40.416326531	1
41.356009070	2
42.294784580	1
43.230839002	2
44.637641723	3
45.565532880	3
46.496145125	2
47.426757370	2
48.379138322	2
49.317913832	2
50.247619048	2
51.180952381	2
52.148208617	2
53.060317460	2
53.995464853	2
56.099773243	1
58.233106576	2
58.696598639	2
59.169160998	3
59.630839002	2
60.574149660	1
61.512925170	1
62.447165533	2
62.919727891	3
63.394104308	3
64.321995465	2
65.264761905	2
66.196825397	1
66.689342404	1
67.145578231	2
68.076190476	3
68.541496599	2
69.021405896	1
69.949206349	2
70.916099773	2
71.358730159	3
72.290113379	2
73.227210884	2
73.701519274	2
74.640362812	2
75.118367347	1
76.039002268	2
76.977777778	3
77.449433107	2
77.919274376	3
78.853514739	2
79.791383220	2
80.735600907	1
81.195464853	2
81.670748299	1
82.617687075	2
83.071201814	3
83.544671202	3
84.496145125	2
85.415873016	3
86.356462585	2
87.293424036	2
88.230385488	2
88.695691610	2
89.166439909	2
90.110476190	1
90.574149660	2
91.043265306	3
91.511292517	2
91.977142857	1
92.454965986	2
92.917551020	3
93.385578231	2
93.865102041	1
94.796190476	2
95.730068027	2
96.674784580	3
97.162471655	3
97.591995465	2
98.539319728	3
99.476462585	2
100.416870748	1
100.892517007	2
101.351836735	1
102.290068027	2
103.228299320	3
103.709387755	3
104.173061224	3
104.623673469	2
105.103673469	1
106.040816327	1
106.974693878	2
107.450340136	3
107.916190476	2
108.853333333	2
109.787210884	1
110.729795918	1
111.197823129	2
112.110294785	3
112.597551020	2
113.544489796	1
114.475102041	2
114.952925170	3
115.415510204	2
116.352653061	2
117.291972789	3
117.754557823	2
118.696054422	1
119.167346939	2
119.619047619	3
120.103401361	2
121.041632653	1
121.975510204	1
122.448979592	1
123.382857143	1
123.853061224	2
124.789115646	2
125.728435374	2
126.194285714	2
126.664489796	3
127.603809524	3
128.543129252	3
129.478095238	3
130.419591837	2
131.355646259	1
131.821496599	2
132.294965986	3
132.757551020	2
133.226666667	1
133.697959184	2
134.398911565	1
135.103129252	1
135.568979592	2
136.039183673	3
136.974149660	3
137.447619048	2
137.915646259	1
138.853877551	2
139.791020408	3
140.732517007	2
141.197278912	3
142.137687075	2
142.605714286	1
143.539591837	2
144.482176871	3
144.946938776	3
145.416054422	2
145.882993197	2
146.357551020	1
147.292517007	1
148.227482993	2
148.702040816	1
149.635918367	2
150.107210884	3
150.574149660	2
151.042176871	3
151.513469388	2
151.982585034	1
152.924081633	2
153.386666667	1
153.857959184	2
154.790748299	3
155.734421769	2
156.195918367	2
157.136326531	2
157.606530612	3
158.541496599	2
159.481904762	1
159.945578231	1
160.422312925	2
161.349659864	3
162.290068027	3
163.229387755	2
163.702857143	2
164.405986395	1
164.864217687	1
165.574965986	2
166.513197279	3
167.452879819	2
168.384217687	1
169.328979592	2
169.793741497	3
170.254149660	2
171.198911565	3
172.129523810	2
173.056870748	1
174.003990930	2
174.965102041	1
175.406984127	2
175.891519274	3
176.844716553	3
177.766825397	2
178.687346939	2
179.635283447	2
180.107165533	2
180.565714286	2
181.515102041	2
182.445918367	2
183.400272109	2
184.315736961	2
185.267868481	2
186.189455782	2
187.136575964	2
188.079455782	2
189.001360544	2
189.945034014	2
190.881088435	2
